What defines a membrane-enclosed organelle in a eukaryotic cell?,Any intracellular structure surrounded by at least one lipid bilayer.
What is the primary advantage of cellular compartmentalisation in eukaryotes?,It creates functionally specialised aqueous spaces for incompatible biochemical reactions to occur simultaneously.
Which organelle serves as the repository for the cell's genetic material?,The nucleus.
How many membranes constitute the nuclear envelope?,Two (a double membrane).
What is the function of the nucleolus?,The synthesis of ribosomal RNA and the assembly of ribosomes.
Which organelle is described as an irregular maze of interconnected membrane-enclosed spaces?,The endoplasmic reticulum (ER).
What structural feature distinguishes the rough endoplasmic reticulum?,The presence of ribosomes on its cytosolic surface.
What is the primary function of the rough endoplasmic reticulum?,The synthesis of proteins destined for secretion or distribution to other organelles.
What is a major metabolic role of the smooth endoplasmic reticulum?,The synthesis of most lipids.
"Besides lipid synthesis, what ion does the smooth endoplasmic reticulum sequester for cell signalling?",$Ca^{2+}$ ions.
"Which organelle consists of stacks of flattened, membrane-enclosed sacs called cisternae?",The Golgi apparatus.
What is the name of the entry face of the Golgi apparatus that receives vesicles from the ER?,The $cis$ Golgi network (CGN).
What is the name of the exit face of the Golgi apparatus responsible for protein sorting?,The $trans$ Golgi network (TGN).
"Which organelle modifies, sorts, and packages molecules for secretion or delivery to other compartments?",The Golgi apparatus.
What is the primary function of lysosomes?,Intracellular digestion and the breakdown of unwanted molecules.
Why is the internal environment of a lysosome kept acidic?,To provide the optimal pH for the activation of acid hydrolases.
Which organelle uses hydrogen peroxide to inactivate toxic molecules?,The peroxisome.
What is the metabolic byproduct characteristic of peroxisomal oxidative reactions?,Hydrogen peroxide ($H_{2}O_{2}$).
Which organelle is the primary site of ATP synthesis via oxidative phosphorylation?,The mitochondrion.
How many separate membrane compartments are found in a single mitochondrion?,Two (the inner and outer membranes).
What are the internal folds of the mitochondrial inner membrane called?,Cristae.
Where is the mitochondrial matrix located?,Inside the inner mitochondrial membrane.
Which organelle is responsible for photosynthesis in plant cells?,The chloroplast.
How many distinct membrane systems exist in a chloroplast?,"Three (outer, inner, and thylakoid membranes)."
What is the function of endosomes?,The sorting of endocytosed material.
What structures ferry materials between membrane-enclosed organelles?,Transport vesicles.
Which cytoskeletal component provides the tracks for intracellular organelle transport?,Microtubules.
What protein subunit makes up the structure of microtubules?,Tubulin.
