"According to the etymology of the terms, what does the Greek word 'karyon' signify in the context of cell classification?",It signifies a 'kernel' or 'nucleus'.
What is the primary structural characteristic used to distinguish eukaryotes from prokaryotes?,"The presence of a distinct, membrane-enclosed nucleus."
Identify the two distinct evolutionary domains into which all prokaryotes are divided.,The two domains are Bacteria and Archaea.
"In a prokaryotic cell, where is the genetic material (DNA) specifically located?",The DNA is located directly within the cytoplasm.
Which organelle is the only one typically found within a bacterial cell?,The ribosome is the only organelle present in bacteria.
How do eukaryotic cells generally compare in length and volume to prokaryotic cells?,Eukaryotes are typically 10 times the length and 1000 times the volume of prokaryotes.
What structure usually surrounds the plasma membrane of a prokaryote to provide a tough protective coat?,The cell wall provides this protective layer.
"Organisms that can live entirely on inorganic substances, obtaining carbon from $CO_{2}$ and nitrogen from $N_{2}$, are usually found in which cell category?",These organisms are typically prokaryotes.
"According to the endosymbiotic theory, from which type of organism did mitochondria evolve?",Mitochondria are thought to have evolved from aerobic bacteria.
What is the primary difference between the DNA structure of most prokaryotes and eukaryotes?,"Prokaryotes typically have circular DNA, whereas eukaryotes have linear DNA organised into chromosomes."
"In terms of reproductive timing, why can many prokaryotic populations evolve much faster than eukaryotic ones?","They reproduce very quickly, with some species duplicating in as little as 20 minutes."
Which eukaryotic microorganism is commonly used as a model organism due to its rapid reproduction and simple genetics?,The budding yeast $Saccharomyces\ cerevisiae$ is the standard model.
Contrast the spatial arrangement of transcription and translation in prokaryotic cells versus eukaryotic cells.,"In prokaryotes, both occur in the same compartment, whereas in eukaryotes, transcription happens in the nucleus and translation in the cytoplasm."
What distinguishes 'Gram-positive' bacteria from 'Gram-negative' bacteria during the staining process?,"Gram-positive bacteria have a thick peptidoglycan layer that retains the violet dye, while Gram-negative bacteria have a thinner layer and an outer membrane."
What is the unique glycosylated lipid found specifically in the outer membrane of Gram-negative bacteria?,The lipid is Lipopolysaccharide ($LPS$).
"In prokaryotes, the region between the inner plasma membrane and the outer membrane in Gram-negative bacteria is known as the _____.",Periplasm
Describe the functional advantage prokaryotes gain by lacking a nuclear envelope during protein synthesis.,Ribosomes can begin translating $mRNA$ while it is still being synthesised by $RNA$ polymerase.
