Name the three major types of protein filaments that compose the eukaryotic cytoskeleton.,"Intermediate filaments, microtubules, and actin filaments."
"Which cytoskeletal filament type has the smallest diameter, measuring approximately $7$ nm?",Actin filaments.
What is the approximate outer diameter of a microtubule?,$25$ nm.
Which filament type is characterized as ropelike with a diameter of about $10$ nm?,Intermediate filaments.
What is the primary function of intermediate filaments in animal cells?,To provide mechanical strength and protect cells against mechanical stress.
The meshwork of intermediate filaments that supports the inner face of the nuclear envelope is called the _____.,Nuclear lamina.
Which two families of linker proteins bridge the nuclear envelope to connect the cytoskeleton and the nucleoskeleton?,SUN and KASH families.
Microtubules are composed of globular subunits of which protein?,Tubulin.
Which specific tubulin dimer components form the hollow cylinder of a microtubule?,$\alpha$-tubulin and $\beta$-tubulin.
What is the name of the major microtubule-organising centre in most animal cells?,The centrosome.
"Microtubules frequently switch between periods of slow growth and rapid shrinkage, a phenomenon known as _____.",Dynamic instability.
Which molecule must be bound to a tubulin dimer to promote its addition to a growing microtubule?,GTP.
How does GTP hydrolysis affect the stability of a microtubule?,"It reduces the binding affinity between tubulin dimers, leading to filament depolymerisation."
Which motor proteins generally move toward the plus end of a microtubule?,Kinesins.
Which motor proteins generally move toward the minus end of a microtubule?,Dyneins.
What provides the energy for motor proteins to travel along cytoskeletal filaments?,ATP hydrolysis.
"In a cilium or flagellum, microtubules are arranged in a characteristic '$9 + 2$' pattern called the _____.",Axoneme.
Which motor protein is responsible for the bending motion of cilia and flagella?,Ciliary dynein.
What serves as the organising centre for the microtubules in a cilium or flagellum?,A basal body.
"Which actin-based structure allows a cell to crawl by extending a thin, sheet-like protrusion?",Lamellipodium.
The process by which an actin filament loses subunits from its minus end at the same rate it adds them to its plus end is called _____.,Treadmilling.
Which protein acts as a nucleator for branched actin filament networks in lamellipodia?,Arp2/3 complex.
"Which proteins nucleate the assembly of linear, unbranched actin filaments?",Formins.
"The layer of cytoplasm just beneath the plasma membrane, rich in actin filaments, is called the _____.",Cell cortex.
Which motor protein family is primarily associated with actin filaments?,Myosins.
Which myosin type is responsible for muscle contraction?,Myosin-II.
What structure is formed by the overlapping arrays of actin and myosin-II filaments in a muscle cell?,Sarcomere.
The sudden rise in the cytosolic concentration of which ion triggers muscle contraction?,$Ca^{2+}$.
Which actin-binding protein prevents spontaneous polymerisation by sequestering actin monomers in the cytosol?,Thymosin.
Which actin-binding protein promotes polymerisation by binding to monomers and facilitating their addition to the plus end?,Profilin.
The ring of actin and myosin filaments that divides the cytoplasm during cytokinesis is called the _____.,Contractile ring.
Which small GTPase of the Ras superfamily controls the assembly and contraction of the contractile ring?,RhoA.
What is the structural remains of the central spindle that persists after the contractile ring narrows?,The midbody.
Which protein complex is responsible for the final abscission step of cytokinesis by severing the midbody membranes?,ESCRT-III.
Microtubule-organising centres contain a ring-shaped complex of which protein to nucleate microtubule growth?,$\gamma$-tubulin.
"Which drug binds to and stabilises microtubules, preventing them from depolymerising?",Taxol.
Which drug prevents microtubule polymerisation by binding to free tubulin dimers?,Colchicine (or Vinblastine).
How does Phalloidin affect the actin cytoskeleton?,It binds and stabilises actin filaments against depolymerisation.
Concept: Critical Concentration ($C_c$),Definition: The concentration of free subunits at which the rate of subunit addition exactly equals the rate of subunit loss.
Why do microtubule plus ends typically grow faster than minus ends?,The plus end has a lower critical concentration ($C_c$) than the minus end.
"Which motor protein is known for its high processivity, meaning it can walk long distances along a microtubule without detaching?",Kinesin-1.
Which microtubule-associated protein (MAP) family is specifically linked to the formation of neurofibrillary tangles in Alzheimer's disease?,Tau proteins.
Centrioles are composed of nine clusters of how many microtubules each?,Three (microtubule triplets).
"The short, non-motile antenna used by many animal cells to sense extracellular signals is called a _____.",Primary cilium.
Which protein links intermediate filaments to other cytoskeletal components like microtubules?,Plectin.
What is the specific type of intermediate filament found in epithelial cells?,Keratin filaments.
"Intermediate filaments found in connective tissue, muscle cells, and glial cells are typically composed of _____.",Vimentin.
Which intermediate filaments are found specifically in the axons of nerve cells?,Neurofilaments.
Mutations in nuclear lamins can lead to which rare premature ageing disorder?,Progeria.
The 'hand-over-hand' mechanism describes the walking movement of which motor protein dimer?,Kinesin.
Which domain of a motor protein determines the identity of the cargo it transports?,The tail domain.
"In skeletal muscle, which protein binds $Ca^{2+}$ to move tropomyosin and expose actin-binding sites?",Troponin.
"Which actin-binding proteins are involved in forming the stiff, stable microvilli on intestinal epithelial cells?",Fimbrin and villin.
What is the effect of Cytochalasin on actin filaments?,"It caps the plus ends of actin filaments, preventing polymerisation."
Which large protein serves as a molecular 'ruler' to dictate the length of actin filaments in muscle sarcomeres?,Nebulin.
Which protein provides elasticity to the sarcomere and centres the thick filaments between the Z discs?,Titin.
"Unlike microtubules and actin filaments, intermediate filaments lack structural _____.",Polarity.
Which protein filament system is responsible for the movement of mitochondria throughout the cytoplasm?,Microtubules.
Which type of myosin has a single head and can move vesicles or attach the plasma membrane to the actin cortex?,Myosin-I.
"The $9 + 2$ arrangement of the axoneme is held together by cross-linking proteins, including _____.",Nexin.
Which cytoskeletal structure is essential for the segregation of chromosomes during mitosis?,The mitotic spindle.
What is the primary role of transmembrane integrin proteins regarding the cytoskeleton?,To link the extracellular matrix to the intracellular actin cytoskeleton.
"The jerky, stepwise movement of organelles along microtubules is referred to as _____.",Saltatory movement.
Which protein forms the 'cap' that stabilizes the minus ends of actin filaments in muscle cells?,Tropomodulin.
"In the absence of ATP, the myosin head is locked tightly onto an actin filament in a state called _____.",Rigor.
