What is the approximate percentage of water by weight in a typical living cell?,70%
"On the basis of mass, what are the most abundant organic molecules in a living cell?",Macromolecules
Small organic molecules in the cytosol generally have molecular weights in what range?,100–1000
Which four elements make up approximately 96% of a cell's mass?,"$C$, $H$, $N$, and $O$"
What type of chemical bond links the monomer subunits in a macromolecule?,Covalent bond
The principal building blocks of a cell are formed by linking small organic monomers into long chains called _____.,Polymers
Which family of small organic molecules serves as the monomeric subunits for proteins?,Amino acids
What are the four major families of small organic molecules found in cells?,"Sugars, fatty acids, amino acids, and nucleotides"
Which macromolecule is responsible for storing and transmitting hereditary information?,Nucleic acids (DNA and RNA)
What percentage of a bacterial cell's total mass is typically composed of proteins?,15%
Proteins constitute approximately _____ of the dry mass of a cell.,Half
How many different types of amino acids are used to construct proteins in living cells?,20
What is the primary function of the protein 'tubulin' in a cell?,Self-assembling to form microtubules
Which protein acts as a molecular motor to produce force and movement?,Myosin
What is the function of 'histone' proteins in a eukaryotic cell?,Assisting in wrapping DNA into chromosomes
"Macromolecules are synthesized by a repeating reaction that eliminates a water molecule, known as a _____ reaction.",Condensation
What type of reaction is used to break down macromolecules into their individual subunits?,Hydrolysis
Why is it biologically advantageous that macromolecules are held together by covalent bonds rather than non-covalent bonds?,Covalent bonds provide the stability needed to maintain long polymer chains.
Which four types of weak non-covalent bonds enable macromolecules to bind specifically to other molecules?,"Hydrogen bonds, electrostatic attractions, van der Waals attractions, and the hydrophobic force"
"The unique shape, or conformation, of a protein or RNA molecule is primarily determined by _____ bonds between different regions of the chain.",Non-covalent
"What are the subunits that make up polysaccharides, glycogen, and starch?",Sugars (monosaccharides)
Which specific sugar linkage is found in the linear chains of cellulose?,"$\beta 1,4$ linkage"
Each cellulose molecule in a primary plant cell wall consists of at least how many glucose residues?,500
How many individual cellulose molecules assemble in parallel to form a single cellulose microfibril?,About 18
"In a plant cell wall, what is the primary mechanical role of cellulose microfibrils?",Providing tensile strength
Which polysaccharide in the plant cell wall is highly branched and functions to resist compression?,Pectin
What is the name of the complex polysaccharide network that 'cements' adjacent plant cells together in the middle lamella?,Pectin
What drives the expansion of plant cells during growth against the resistance of the cell wall?,Turgor pressure
Which macromolecule family forms the essential components of cell membranes?,Fatty acids (lipids)
What are the three components of a nucleotide?,"A nitrogen-containing base, a five-carbon sugar, and one or more phosphate groups"
"In a DNA molecule, the covalent _____ bond links consecutive nucleotides.",Phosphodiester
"By convention, a polynucleotide sequence is always read starting from which end?",The $5'$ end
What is the functional difference between DNA and RNA in terms of hereditary information?,"DNA stores the information, while RNA transmits it."
Concept: Molecular Machine,Definition: A large biochemical assembly with fixed composition and defined stoichiometry. Example: Ribosome or nuclear pore.
Concept: Biomolecular Condensate,"Definition: A dynamic, often liquid-like biochemical assembly formed by transient non-covalent interactions. Example: Nucleolus or stress granule."
"The attachment of a phosphate group to Serine, Threonine, or Tyrosine residues typically has what effect on proteins?",It drives the assembly of the protein into larger complexes.
What is the prominent function of 'Ubiquitin' when attached as a polyubiquitin chain to a Lysine residue on a protein?,It targets the protein for degradation.
Which covalent modification on Lysine residues helps to activate genes in chromatin by modifying histones?,Acetylation
The addition of a _____ group to a Cysteine residue drives protein association with membranes.,Palmityl
Which covalent modification of Serine or Threonine controls enzyme activity and gene expression in glucose homeostasis?,$N$-Acetylglucosamine
What is the approximate total number of different small organic molecules detected in a well-studied bacterium like $Escherichia$ $coli$?,Nearly 4000
"Which enzyme in plants is responsible for converting $CO_{2}$ to sugars, creating most organic matter for the living world?",Ribulose bisphosphate carboxylase
"In a bacterial cell, what percentage of the total mass is accounted for by RNA?",6%
Which end of a DNA polynucleotide chain has a free phosphate group?,The $5'$ end
What chemical feature of water makes it the essential medium for the chemistry of life?,Its polar nature and ability to form hydrogen bonds.
"The bonds between the subunits of macromolecules are _____ reversible by hydrolysis, allowing for recycling of materials.",Readily
What is the primary reason why macromolecules use non-covalent bonds to bind other molecules?,"They allow for rapid association and dissociation, providing chemical flexibility."
Which plant cell wall layer is especially rich in pectin and functions to cement cells together?,The middle lamella
Cellulose microfibrils are connected to one another in the plant cell wall by _____ glycan molecules.,Cross-linking
What determines the specificity with which a macromolecule binds to another selected molecule?,The unique pattern of weak non-covalent bonds formed between them.
What is the approximate range of nucleotide pairs in a typical bacterial genome?,"1,000,000 to 5,000,000"
Which type of non-covalent interaction is driven by the exclusion of non-polar surfaces from water?,Hydrophobic force
Fatty acids are an even richer energy source than sugars. True or False?,True
The sequence of subunits in a macromolecule is read and abbreviated using a _____ code.,One-letter
What term describes a short chain of linked sugars?,Oligosaccharide
"In terms of mass, inorganic ions and small molecules account for what percentage of a bacterial cell?",4%
Which nitrogenous base is represented by the letter 'T' in DNA sequences?,Thymine
A cluster of two or more atoms held together by covalent bonds is known as a _____.,Molecule
What provides the mechanical strength that allows plant cells to sustain high internal turgor pressure?,The cell wall
Which plant cell wall component is typically arranged in a plywood-like network of lamellae?,Cellulose microfibrils
"What kind of bond results when an electron jumps from one atom to another, creating opposite charges?",Ionic bond
Which macromolecule constitutes 2% of the total mass of a bacterial cell and is used for energy storage?,Polysaccharide
Proteins are formed from amino acids covalently linked by _____ bonds.,Peptide
Nucleotides play a central role in _____ reactions within the cell.,Energy-transfer
A double bond forms when how many pairs of outer-shell electrons are shared between atoms?,Two
