What is the fundamental building block of all living organisms?,The cell.
Term for the principle that all living cells are formed by the growth and division of existing cells.,The cell theory.
Who first documented in 1838 that cells are the universal building blocks of all plant tissues?,Matthias Schleiden.
Which scientist proposed in 1839 that animal tissues are constructed from nucleated cells?,Theodor Schwann.
Explain the significance of Louis Pasteur's experiments in the 1860s for cell biology.,They confirmed that living organisms do not arise spontaneously but only from existing organisms.
Translate the phrase 'omnis cellula e cellula' as used by Rudolf Virchow in 1858.,Every cell comes from a cell.
Approximately how long ago is the common ancestral cell believed to have existed?,More than 3 billion years ago.
Which mechanism explains how random variation and natural selection generated the diversity of modern cells from a common ancestor?,Evolution.
What three molecular components participate in the 'Central Dogma' of molecular biology?,"DNA, RNA, and proteins."
"In the self-replication of cells, what is the specific role of proteins regarding genetic information?",They catalyze the replication of DNA and the transcription of RNA.
What is the typical length of a bacterial cell such as $Lactobacillus$?,A few micrometers ($\mu m$).
"What is the approximate diameter of a frog egg, which consists of a single cell?",$1$ millimetre ($mm$).
What is the typical diameter range of most animal and plant cells?,$5$ to $20$ $\mu m$.
Which structure acts as the selective barrier separating a cell's internal contents from the external environment?,The plasma membrane.
Define the term 'cytoplasm'.,"The transparent substance filling a cell's interior, excluding the nucleus."
What is the physical resolution limit of a standard light microscope?,About $0.2$ $\mu m$.
Which type of microscopy is necessary to visualise the fine internal structure of organelles?,Electron microscopy.
What defines a 'prokaryotic' cell?,The absence of a nucleus and other membrane-enclosed organelles.
Into which two distinct domains is the world of prokaryotes divided?,Bacteria and Archaea.
Where is the genetic material stored in a eukaryotic cell?,Inside the nucleus.
Term for the membrane-enclosed structures in the cytoplasm that perform specialised functions.,Organelles.
Function: Mitochondria,Definition: Organelles that harvest energy from food molecules via oxidation to produce ATP.
"According to the endosymbiotic theory, mitochondria are thought to have evolved from _____.",Aerobic bacteria engulfed by an ancestral eukaryotic cell.
Which organelles are responsible for photosynthesis in plants and algae?,Chloroplasts.
Function: Endoplasmic Reticulum (ER),Definition: A labyrinthine organelle where cell-membrane components and materials for export are synthesised.
Which organelle receives and modifies molecules from the ER before directing them to their final destination?,The Golgi apparatus.
Function: Lysosomes,Definition: Small organelles that perform intracellular digestion of food particles or unwanted cell components.
What is the 'cytosol' in a eukaryotic cell?,The concentrated aqueous mixture of molecules outside the membrane-enclosed organelles.
The system of protein filaments that provides structural support and enables movement in eukaryotic cells is called the _____.,Cytoskeleton.
Name the three major types of filaments that constitute the cytoskeleton.,"Actin filaments, microtubules, and intermediate filaments."
Approximately what percentage of a cell's total mass is made up of water?,$70\%$.
List the four chemical elements that account for $96\%$ of a cell's total mass.,"Carbon ($C$), Hydrogen ($H$), Nitrogen ($N$), and Oxygen ($O$)."
What are the four major families of small organic molecules found in cells?,"Sugars, fatty acids, amino acids, and nucleotides."
Monomer: Amino acid,Polymer: Protein (Polypeptide).
Monomer: Nucleotide,Polymer: Nucleic acid (DNA or RNA).
Monomer: Sugar,Polymer: Polysaccharide.
Proteins typically constitute what percentage of a cell's dry mass?,$50\%$.
Term for the total genetic information of a cell or organism stored in its DNA.,The genome.
Who first coined the term 'cells' in 1665 while observing cork sections?,Robert Hooke.
Which scientist first observed living protozoa and bacteria using a primitive microscope in the 17th century?,Antonie van Leeuwenhoek.
Robert Brown is credited with the first clear description of which cellular structure in 1833?,The cell nucleus.
How does the DNA content of different nucleated cells within a single multicellular organism compare?,They all contain the same set of DNA molecules.
Why do cells in a multicellular organism appear and function differently if they share the same DNA?,They express or 'turn on' different sets of genes.
Concept: The Cell Cycle,Definition: The orderly sequence of events by which a cell duplicates its contents and divides in two.
What constitutes the 'M phase' of the cell cycle?,Mitosis (nuclear division) and cytokinesis (cytoplasmic division).
What is 'interphase' in the context of the cell cycle?,The long period between one mitosis and the next where cell growth occurs.
Why is a plasma membrane unable to form 'de novo'?,It must grow by expansion of a pre-existing membrane provided by the parent cell.
Explain why brewer's yeast ($Saccharomyces \ cerevisiae$) is used as a model organism for studying cancer.,Its cell-division cycle is controlled by proteins functionally equivalent to those in human cells.
What term describes proteins from different species that have closely similar structures due to a shared ancestor?,Homologous proteins.
Describe the composition of the 'cell cortex' in animal cells.,A layer of cytoplasm rich in actin filaments just beneath the plasma membrane.
"Apart from the nucleus, which two eukaryotic organelles contain their own DNA?",Mitochondria and chloroplasts.
What is the primary evolutionary advantage suggested for the development of internal membranes in cells?,They allowed bigger cells to evolve by increasing surface area for chemical reactions.
Which type of noncovalent bond enables macromolecules to bind specifically to selected small molecules?,"Weak noncovalent bonds (e.g., hydrogen bonds or electrostatic attractions)."
"The process by which cells harvest energy from food molecules, usually consuming $O_2$, is called _____.",Cell respiration.
