Term: Neoplasm,"Definition: A mass of cells resulting from uncontrolled cell growth, commonly referred to as a tumour."
What capacity distinguishes a malignant neoplasm from a benign one?,The ability to invade nearby tissues and metastasise to distant sites.
"Cancer is described as a microevolutionary process because it results from repeated rounds of mutation, competition, and _____.",Natural selection
What is the approximate estimated mutation rate per gene per cell division?,$10^{-6}$
Why does the incidence of most cancers rise steeply with age?,The development of cancer typically requires the gradual accumulation of multiple independent mutations in a single cell lineage.
Term: Tumor Progression,Definition: The process by which an initial mild disorder of cell behaviour evolves gradually into a full-blown cancer.
A mutated cell that becomes the ancestor of a growing mutant clone is known as a _____.,Founder
How do cancer stem cells contribute to tumour growth despite being a small part of the population?,They are capable of self-renewal and produce a much larger number of transit amplifying cells.
Why are slowly dividing cancer stem cells particularly difficult to eliminate with radiotherapy?,"Radiotherapy selectively kills rapidly dividing cells, often sparing the slowly dividing stem cells that can later resurrect the tumour."
Name one common hallmark of cancer related to cellular metabolism.,"Altered cellular metabolism, such as an increased reliance on glycolysis even in the presence of oxygen."
Cancer cells often achieve immortality by reactivating the production of which enzyme?,Telomerase
Term: Transformed Phenotype,"Definition: A set of abnormal properties in cultured cells, such as loss of contact inhibition and attachment independence, indicating cancerous potential."
Mutations in proto-oncogenes are typically classified as _____ mutations.,Dominant gain-of-function
Mutations in tumour suppressor genes generally act in a _____ manner.,Recessive loss-of-function
What is the primary function of a proto-oncogene in a normal cell?,"To encode products that regulate cell growth, division, and differentiation."
Term: Genetic Instability,Definition: A condition characterised by an increased mutation rate and abnormal chromosome numbers (aneuploidy) in cancer cells.
How does global DNA hypomethylation contribute to tumorigenesis?,It can increase the activity of oncogenes and lead to chromosomal instability and fragility.
Hypermethylation of the promoter regions of _____ genes is a common epigenetic alteration in cancer.,Tumour suppressor
Term: Driver Mutation,Definition: A mutation that has a causal role in the development and progression of cancer.
What are 'passenger' mutations in a cancer cell genome?,Mutations that have occurred by chance and do not contribute to the selective advantage of the cancer cell.
Which gene is typically the first to be inactivated in the progression of colorectal cancer?,$APC$ (adenomatous polyposis coli)
"Following the loss of $APC$, which proto-oncogene is frequently activated in colorectal cancer progression?",$Ras$ (specifically $KRAS$)
The inactivation of which tumour suppressor gene is often a late-stage event leading to invasive adenocarcinoma?,$p53$ ($TP53$)
Term: Epithelial-to-Mesenchymal Transition (EMT),Definition: A developmental program subverted by cancer cells to lose adhesion and acquire migratory properties for metastasis.
Why is the $p53$ pathway inactivated in nearly all human cancers?,Its inactivation allows genetically damaged cells to escape apoptosis and continue proliferating.
Knudson’s 'multi-hit' concept was first proposed following the analysis of which disease?,Retinoblastoma
What role does the 'Philadelphia chromosome' play in chronic myeloid leukaemia?,It is a chromosome translocation that upregulates an oncogene to drive unregulated cell growth.
How does a 'selective advantage' drive the evolution of a tumour?,"It allows a mutant cell to grow and divide more vigorously or survive more readily than its neighbours, leading to clonal expansion."
Term: Angiogenesis,"Definition: The formation of new blood vessels, which a tumour requires to obtain nourishment and grow."
Which hallmark of cancer describes the ability of cells to survive and proliferate in foreign territories?,Metastasis
The abnormal use of glycolysis for ATP production by cancer cells is known as the _____ effect.,Warburg
Which type of mutation in the $Ras$ gene causes it to become an oncogene?,An activating mutation that causes constant intracellular signalling for proliferation.
"In Knudson's hypothesis, hereditary retinoblastoma is often bilateral because the first 'hit' is _____.",Inherited in all somatic cells
