Define the term 'proto-oncogene'.,"A normal gene that, when altered by mutation or over-expression, can contribute to the development of cancer."
How many copies of a proto-oncogene must be mutated to promote the development of cancer?,Only one copy must undergo a gain-of-function mutation.
What is the typical effect of a gain-of-function mutation in a proto-oncogene on its inheritance pattern at the cellular level?,It acts in a dominant manner.
Which mechanism of proto-oncogene activation involves a small change in DNA sequence that produces a hyperactive protein in normal amounts?,Deletion or point mutation within the coding sequence.
How does gene amplification convert a proto-oncogene into an oncogene?,"It creates extra gene copies, leading to the overproduction of a normal protein."
What is the functional result of a regulatory mutation in a proto-oncogene?,A normal protein is greatly overproduced due to changes in the DNA sequence controlling its expression.
"Which activation mechanism involves placing a proto-oncogene under the control of a highly active, nearby regulatory DNA sequence?",Chromosomal rearrangement.
What type of protein is produced when a chromosomal rearrangement fuses a proto-oncogene with an actively transcribed gene?,A hyperactive fusion protein.
The proto-oncogene $Ras$ encodes a protein that belongs to which functional class?,GTPases (involved in signal transduction).
Approximately what percentage of human cancers contain activating mutations in a $Ras$ gene?,$30\%$.
What specific biochemical failure occurs in mutant $Ras$ proteins to keep them continuously active?,They lose their GTPase activity and cannot shut themselves off by hydrolysing bound GTP.
How does a deletion in the extracellular domain of the Epidermal Growth Factor (EGF) receptor lead to oncogenesis?,It produces a truncated receptor that triggers intracellular signalling even in the absence of a growth factor.
The Philadelphia chromosome involves a specific translocation between which two chromosomes?,Chromosomes 9 and 22.
Which proto-oncogene is activated by the Philadelphia chromosome translocation to produce chronic myelogenous leukaemia?,$ABL$.
What are the four broad categories of proteins encoded by proto-oncogenes?,"Growth factors, growth factor receptors, signal transduction molecules, and nuclear transcription factors."
The $SIS$ proto-oncogene encodes the $\beta$ subunit of which growth factor?,Platelet-derived growth factor (PDGF).
Which growth factor receptor proto-oncogene is frequently amplified in glioblastomas and breast carcinomas?,$ERBB$ (EGF receptor).
The $NEU$ ($ERBB2$) proto-oncogene is a receptor protein kinase commonly associated with which types of cancer?,Neuroblastoma and breast carcinoma.
