What is the approximate thickness of a typical plasma membrane lipid bilayer?,The lipid bilayer is approximately $5\text{ nm}$ thick.
Term: Amphipathic,Definition: Molecules possessing both a hydrophilic (water-loving) and a hydrophobic (water-fearing) region.
Which four major phospholipids are predominantly found in mammalian plasma membranes?,"The four major phospholipids are phosphatidylcholine, phosphatidylethanolamine, phosphatidylserine, and sphingomyelin."
"In the plasma membrane, where are glycolipids exclusively located?",Glycolipids are found exclusively in the non-cytosolic (extracellular) monolayer of the membrane.
How is cholesterol distributed between the two monolayers of the lipid bilayer?,Cholesterol is distributed almost equally between both monolayers of the bilayer.
Which phospholipid is specifically concentrated on the cytosolic side and carries a net negative charge?,Phosphatidylserine is concentrated on the cytosolic side and carries a negative charge.
What is the primary function of the carbohydrate layer (glycocalyx) on the cell surface?,"The glycocalyx protects the cell from mechanical damage, lubricates the surface, and aids in cell-cell recognition."
Concept: FRAP (Fluorescence Recovery After Photobleaching),Definition: A technique used to measure the lateral diffusion rate of membrane proteins by monitoring the recovery of fluorescence in a bleached area.
The meshwork of fibrous proteins attached to the cytosolic surface of the plasma membrane in animal cells is called the _____.,Cell cortex
"Which long, flexible protein forms the primary component of the human red blood cell cortex?",Spectrin is the main component that forms a lattice providing support for the red blood cell membrane.
What structure forms a barrier to restrict membrane proteins to specific domains in epithelial cells lining the gut?,Tight junctions act as diffusion barriers to maintain the asymmetric distribution of membrane proteins.
Most transmembrane proteins cross the lipid bilayer in the form of an _____.,$\alpha$ helix
How do detergents like Sodium Dodecyl Sulfate (SDS) differ from Triton X-100 in their effect on proteins?,"SDS is an ionic detergent that denatures proteins, whereas Triton X-100 is a non-ionic detergent that usually leaves proteins folded."
Which type of membrane protein is entirely removed from the bilayer by simply disrupting protein-protein interactions without using detergents?,Peripheral membrane proteins can be removed without disrupting the lipid bilayer.
"The sugar coating on the exterior of the plasma membrane, composed of glycoproteins and proteoglycans, is known as the _____.",Glycocalyx
"In a transmembrane $\alpha$ helix that forms a pore, where are the hydrophobic amino acid side chains located?","The hydrophobic side chains are located on the outside of the helix, contacting the lipid tails."
What is the function of the bacteriorhodopsin protein found in certain bacteria?,Bacteriorhodopsin acts as a light-activated $H^{+}$ pump that transports protons out of the cell.
What term describes a membrane protein that is covalently attached to a lipid molecule embedded in the bilayer?,Lipid-linked membrane proteins.
"What specific secondary structure forms large, water-filled channels such as porins in the outer membrane of bacteria?","$\beta$ sheets rolled into a cylinder, known as a $\beta$ barrel."
Why is the lipid bilayer described as a 'two-dimensional fluid'?,Individual lipid molecules can move laterally and rotate within their own monolayer but rarely flip between layers.
Under what condition does a cell use active transport instead of passive transport?,"Active transport is used when a solute must move against its concentration or electrochemical gradient, requiring energy."
The combined influence of a solute's concentration gradient and the membrane potential is called the _____.,Electrochemical gradient
Which membrane protein actively pumps $Na^{+}$ out of animal cells and $K^{+}$ into them?,The $Na^{+}-K^{+}$ pump (or $Na^{+}$ pump).
Concept: Membrane Domain,Definition: A functionally and structurally specialised region of the plasma membrane characterised by the presence of specific proteins.
Which specific protein dimers link together to form the biconcave shape of human red blood cells?,Spectrin dimers.
Proteins that are embedded in the lipid bilayer and can only be removed by disrupting the bilayer with detergents are called _____.,Integral membrane proteins
How does the 'zipper' mechanism of bacterial entry into host cells function?,"Bacterial surface proteins bind to host cell receptors, triggering the host membrane to engulf the bacterium via actin polymerisation."
"In the 'trigger' mechanism of bacterial entry, what does the bacterium inject into the host cell?",The bacterium injects effector proteins through a type III secretion system to induce membrane ruffling and engulfment.
Which subunit of the cholera toxin is responsible for binding to the host cell surface receptors?,The B subunit.
Where are the enzymatic 'A' subunits of toxins like anthrax or cholera typically delivered within the host cell?,The A subunits are delivered into the host cell cytosol.
Term: Lectin,Definition: A specialised protein that recognises and binds to specific oligosaccharide side chains on the surface of cells.
"In epithelial cells, which membrane domain faces the internal cavity or the outside world?",The apical surface.
What role do integrins play in the plasma membrane during cell crawling?,Integrins adhere to the extracellular matrix and capture actin filaments in the cortex to provide anchorage.
Which type of lipid molecule makes up approximately 50% of the mass of most animal cell membranes?,"Lipid molecules (collectively), with phospholipids being the most abundant class."
What is the primary function of membrane-bending proteins?,"They attach to the membrane and use various mechanisms to deform the bilayer into specific shapes, such as vesicles."
The process by which the host cell plasma membrane tucks inward and pinches off to form a vesicle carrying external material is called _____.,Endocytosis
Which organelle is enclosed by a double membrane consisting of an inner and outer layer?,The nucleus (or mitochondria).
What determines whether a newly synthesised protein in the cytosol is imported into a specific organelle?,The presence of a specific amino acid sequence called a sorting signal.
"In the plasma membrane of mammalian cells, which phospholipid uses choline and has a phosphate head group?",Phosphatidylcholine.
What is the thickness of the human red blood cell spectrin rod?,Spectrin is approximately $100\text{ nm}$ in length.
Which mechanism of pathogen entry is used by Salmonella enterica?,The trigger mechanism.
A protein that contains one or more long polysaccharide chains and is found in the glycocalyx is called a _____.,Proteoglycan
Which functional class of membrane proteins includes the $Na^{+}$ pump?,Transporters.
What property of the lipid bilayer makes it highly impermeable to ions?,The hydrophobic interior of the lipid bilayer.
Which specialised cell junction links the keratin intermediate filaments of one epithelial cell to those of another?,Desmosome.
The thin mat of extracellular matrix that supports all epithelial sheets is called the _____.,Basal lamina
What happens to a phospholipid bilayer if it is pierced or torn?,The membrane is self-sealing and will quickly reseal to eliminate the exposure of hydrophobic tails to water.
"In terms of membrane fluidity, what effect does cholesterol have on the lipid bilayer at high temperatures?","Cholesterol stiffens the bilayer, making it less fluid and less permeable."
Which phospholipid is concentrated in the non-cytosolic monolayer and has a structure built from sphingosine?,Sphingomyelin.
